scenario,month_ahead,cum_default,cum_prepay,pct_delinquent
base,1,0.00750407377485047,0.005172048582726774,0.05463182701519067
base,2,0.013472430130966658,0.010705155612612415,0.05736082867961794
base,3,0.019655901836377325,0.016482180499223963,0.059806835362894654
base,4,0.0257768151635461,0.022497152763391107,0.06225841067978369
base,5,0.03211517318663206,0.02872992572940103,0.06466966322921709
base,6,0.038650340854175236,0.035211144126535844,0.06712117778769505
base,7,0.04541579817059411,0.04182127354348791,0.06909237481027874
base,8,0.052439770489061635,0.04851928103422416,0.07085976578709269
base,9,0.05971966716316993,0.055271558641792035,0.0721506379187099
base,10,0.06720230294575771,0.062005094080527304,0.07316749883802162
base,11,0.07484235275859305,0.06873394422137653,0.07383238264450318
base,12,0.08262978613117967,0.07549964344763653,0.07431892995668739
adverse_credit,1,0.01018897290701564,0.003579413209525703,0.06344646212845352
adverse_credit,2,0.018380414900905313,0.007371784665462187,0.07303154470800752
adverse_credit,3,0.027337499228350232,0.01130611176993793,0.08092593937941263
adverse_credit,4,0.03791692251856877,0.015381328330225432,0.08657025256686025
adverse_credit,5,0.049894649199492186,0.019582235144643537,0.09075736533423563
adverse_credit,6,0.06279228638524184,0.02392382506883477,0.09412113193707866
adverse_credit,7,0.07636403506262326,0.028328583753424227,0.09629329330739417
adverse_credit,8,0.09050051684810571,0.03276660238243376,0.09782212836411526
adverse_credit,9,0.10509148770116027,0.03721750928427577,0.09846841282401839
adverse_credit,10,0.11993408324902281,0.0416302995776049,0.09862069890923642
adverse_credit,11,0.13491602799790808,0.04601390180714971,0.09822220986300763
adverse_credit,12,0.1499843749214093,0.05039345985657058,0.09755786091756355
high_prepayment,1,0.006811046682137955,0.011245464063472033,0.05303679073360216
high_prepayment,2,0.01222178928405359,0.02311864973291439,0.05444483156478185
high_prepayment,3,0.01775208045899487,0.03536697004838605,0.055764765811569666
high_prepayment,4,0.023078297458863514,0.04795949976895621,0.057263851258993304
high_prepayment,5,0.028458522374675936,0.06087208189651151,0.05885303494385724
high_prepayment,6,0.03390374885144658,0.07417041285206467,0.06055014318902749
high_prepayment,7,0.03946344951659425,0.08758600711773895,0.06186235401375317
high_prepayment,8,0.04517338439874174,0.10105201352889598,0.0630283960456729
high_prepayment,9,0.05103850677377302,0.11448163825803559,0.06380261718162666
high_prepayment,10,0.057023439647746366,0.12772335670299617,0.06433843277766203
high_prepayment,11,0.06309522113720172,0.14080866209828333,0.06456448115488865
high_prepayment,12,0.06924926201614175,0.15383586032687976,0.06462170845617247
